"GROUP","days_since_admission","concept_code","npat","mean_value","std_value","mean_log_value","std_log_value","periode_group","siteid"
"ARDS_18_49",-2,"1742-6",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"1920-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"1975-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"1988-5",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2019-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2160-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2276-4",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2703-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"3255-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"48065-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"5902-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"6690-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"1742-6",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"1920-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"1975-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"2160-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"3255-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"5902-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"6690-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",0,"1742-6",12,41.7083333333333,31.2355117929849,3.53279227652274,0.678228991596548,"all","FRBDX"
"ARDS_18_49",0,"1751-7",6,2.29833333333333,0.823903311479367,0.997798488280965,0.264315129412067,"all","FRBDX"
"ARDS_18_49",0,"1920-8",12,50.9166666666667,22.5648895947718,3.8575599576733,0.419088047918503,"all","FRBDX"
"ARDS_18_49",0,"1975-2",12,0.638401557666667,0.363889784068062,0.0846421221777993,0.311240821234752,"all","FRBDX"
"ARDS_18_49",0,"1988-5",10,141.626666666667,105.862823887716,4.63681625672137,0.938912332847355,"all","FRBDX"
"ARDS_18_49",0,"2019-8",14,40.8109627130952,10.5531184737298,3.69439841681484,0.23364776486481,"all","FRBDX"
"ARDS_18_49",0,"2160-0",14,1.714070214,1.94850401139183,0.592622978417053,0.565357844863017,"all","FRBDX"
"ARDS_18_49",0,"2276-4",9,1013.96888888889,614.896811901079,6.5937664554236,1.1308427956041,"all","FRBDX"
"ARDS_18_49",0,"2532-0",6,501.166666666667,178.125143274796,6.16001995403759,0.382802395680347,"all","FRBDX"
"ARDS_18_49",0,"2703-7",14,99.3961624988095,33.111402718466,4.55771329850638,0.310134900808853,"all","FRBDX"
"ARDS_18_49",0,"3255-7",9,856.111111111111,139.099285084831,6.74078891176832,0.167296294032511,"all","FRBDX"
"ARDS_18_49",0,"33959-8",7,0.837857142857143,0.689866274136137,0.166897283867365,0.552289281059993,"all","FRBDX"
"ARDS_18_49",0,"48065-7",9,2324.55555555556,2299.35097424855,7.19326448366027,1.21598657707375,"all","FRBDX"
"ARDS_18_49",0,"49563-0",10,0.02885,0.0421571464878732,-0.639678223976709,0.0748288870908379,"all","FRBDX"
"ARDS_18_49",0,"5902-2",13,14.6461538461538,1.85219031807182,2.71080024854472,0.1229429859227,"all","FRBDX"
"ARDS_18_49",0,"6690-2",14,10.2460714285714,6.45419785237348,2.25542028339904,0.469438847575679,"all","FRBDX"
"ARDS_18_49",0,"731-0",12,1.11583333333333,0.588147451105949,0.424973279687854,0.338508184293646,"all","FRBDX"
"ARDS_18_49",0,"751-8",12,8.17208333333333,6.20316614843997,1.98906869077725,0.568403784054423,"all","FRBDX"
"ARDS_18_49",1,"1742-6",5,29.8,8.46758525200662,3.38094167328171,0.273426278999227,"all","FRBDX"
"ARDS_18_49",1,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",1,"1920-8",5,34.6,4.15932686861708,3.55269614918009,0.116695927586352,"all","FRBDX"
"ARDS_18_49",1,"1975-2",5,0.6666666648,0.253561208514342,0.134256677158253,0.225836076077635,"all","FRBDX"
"ARDS_18_49",1,"1988-5",5,212.78,90.4949211282048,5.28892478568561,0.43177970774616,"all","FRBDX"
"ARDS_18_49",1,"2019-8",13,40.7225968923077,6.93091007985144,3.70420399991851,0.185344090224559,"all","FRBDX"
"ARDS_18_49",1,"2160-0",11,1.87474287190909,2.23610279597413,0.62941520850379,0.628438986882931,"all","FRBDX"
"ARDS_18_49",1,"2276-4",3,1104.74666666667,244.084457992174,6.99105309404196,0.226049539254777,"all","FRBDX"
"ARDS_18_49",1,"2532-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",1,"2703-7",13,84.1867665564102,14.9758392605968,4.42390570154433,0.182779527322204,"all","FRBDX"
"ARDS_18_49",1,"3255-7",3,950,86.6025403784439,6.8541115732945,0.0937794327268384,"all","FRBDX"
"ARDS_18_49",1,"48065-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",1,"49563-0",4,0.039875,0.0594059130053566,-0.620677942966454,0.104869092378957,"all","FRBDX"
"ARDS_18_49",1,"5902-2",3,14.6,1.3114877048604,2.71213792301506,0.0879440669974704,"all","FRBDX"
"ARDS_18_49",1,"6690-2",10,8.907,2.90811527358261,2.20024470315756,0.299905072756855,"all","FRBDX"
"ARDS_18_49",1,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",1,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",2,"1742-6",6,37.3333333333333,21.6833269280032,3.50783379546388,0.53315376080612,"all","FRBDX"
"ARDS_18_49",2,"1751-7",3,2.01,0.849234949822486,0.885292056033685,0.316110365554131,"all","FRBDX"
"ARDS_18_49",2,"1920-8",6,80.4166666666667,80.7678256898542,4.09581073840367,0.774584483813278,"all","FRBDX"
"ARDS_18_49",2,"1975-2",6,0.414230018333333,0.181584989330535,-0.105779813693783,0.195616135012945,"all","FRBDX"
"ARDS_18_49",2,"1988-5",5,194.14,116.924416825572,5.13565437777124,0.571842807112381,"all","FRBDX"
"ARDS_18_49",2,"2019-8",12,41.0154042153704,8.04072844736622,3.70901589187388,0.193671900927088,"all","FRBDX"
"ARDS_18_49",2,"2160-0",13,1.58371038,2.06404953849753,0.513832778734269,0.576487551623164,"all","FRBDX"
"ARDS_18_49",2,"2276-4",4,849.08,634.909199439836,6.22016127450414,1.51518054280443,"all","FRBDX"
"ARDS_18_49",2,"2532-0",3,304.333333333333,168.363693631772,5.58901615256504,0.665651789694691,"all","FRBDX"
"ARDS_18_49",2,"2703-7",12,82.6103702261111,17.1390856329091,4.40255789955966,0.191545378737602,"all","FRBDX"
"ARDS_18_49",2,"3255-7",5,866,155.499196139401,6.75007478803595,0.195081482224908,"all","FRBDX"
"ARDS_18_49",2,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",2,"48065-7",5,3078.6,2334.90220351945,7.63289448616405,1.18755896172166,"all","FRBDX"
"ARDS_18_49",2,"49563-0",6,2.225,5.39289988781546,-0.104471507403481,1.33600934634072,"all","FRBDX"
"ARDS_18_49",2,"5902-2",6,15.2666666666667,1.77951304200522,2.75202263870481,0.121822979150612,"all","FRBDX"
"ARDS_18_49",2,"6690-2",12,8.84,3.1584576212852,2.17029772926092,0.399561674003831,"all","FRBDX"
"ARDS_18_49",2,"731-0",3,1.09,0.612617335699864,0.403324918840524,0.446042602883627,"all","FRBDX"
"ARDS_18_49",2,"751-8",3,7.67333333333333,1.48843318067468,2.08947262393959,0.18639994942659,"all","FRBDX"
"ARDS_18_49",3,"1742-6",7,107.642857142857,152.676049826016,4.02277376028393,1.14887522248913,"all","FRBDX"
"ARDS_18_49",3,"1751-7",3,2.15333333333333,0.136503968196288,0.974940855370087,0.0511662124699673,"all","FRBDX"
"ARDS_18_49",3,"1920-8",7,87.6428571428571,58.0084148247148,4.27695976826836,0.700326045767818,"all","FRBDX"
"ARDS_18_49",3,"1975-2",7,0.551378444571429,0.149503175589522,0.0415196749453002,0.141155234644221,"all","FRBDX"
"ARDS_18_49",3,"1988-5",6,145.170833333333,91.4959349051457,4.79763487822604,0.70066148929815,"all","FRBDX"
"ARDS_18_49",3,"2019-8",14,40.6555927273809,7.72428148194079,3.7007819416763,0.190093280744404,"all","FRBDX"
"ARDS_18_49",3,"2160-0",13,1.47450397742308,2.04432056938333,0.452242513854,0.577399616087879,"all","FRBDX"
"ARDS_18_49",3,"2276-4",6,1122.1325,466.457805934792,6.94550130122073,0.445470275275969,"all","FRBDX"
"ARDS_18_49",3,"2532-0",3,401.166666666667,90.9070037639198,5.97957493114911,0.215781570263773,"all","FRBDX"
"ARDS_18_49",3,"2703-7",14,81.4344099261905,23.1959158786183,4.36843424834387,0.286102846205868,"all","FRBDX"
"ARDS_18_49",3,"3255-7",7,825,144.654761414894,6.70232617336285,0.180488965375445,"all","FRBDX"
"ARDS_18_49",3,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",3,"48065-7",4,7132,9223.93260310735,7.87604159686372,1.94103450928338,"all","FRBDX"
"ARDS_18_49",3,"49563-0",6,0.8375,2.00114694612864,-0.263170792153342,0.958232116011679,"all","FRBDX"
"ARDS_18_49",3,"5902-2",8,15.24375,1.84689652815589,2.75035447169667,0.118404148043285,"all","FRBDX"
"ARDS_18_49",3,"6690-2",13,10.1930769230769,2.81965832627343,2.34007126752912,0.248377472203559,"all","FRBDX"
"ARDS_18_49",3,"731-0",3,1.50666666666667,0.637599665411874,0.658945741405242,0.34451545239806,"all","FRBDX"
"ARDS_18_49",3,"751-8",3,6.645,2.16115131353638,1.93510773473705,0.308481931435256,"all","FRBDX"
"ARDS_18_49",4,"1742-6",7,93.2857142857143,117.92612699725,4.09745239011177,0.917824069601447,"all","FRBDX"
"ARDS_18_49",4,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",4,"1920-8",7,79.4285714285714,29.4440551037452,4.31377213606244,0.413634094397197,"all","FRBDX"
"ARDS_18_49",4,"1975-2",7,0.576441101142857,0.140952945691032,0.0664249712218618,0.129438566905879,"all","FRBDX"
"ARDS_18_49",4,"1988-5",6,109.475,80.1488474652006,4.40473016159767,0.948832807941736,"all","FRBDX"
"ARDS_18_49",4,"2019-8",13,39.4307318652015,7.87854542513952,3.66589438356262,0.224069180642115,"all","FRBDX"
"ARDS_18_49",4,"2160-0",13,1.56978765138462,2.07683777600758,0.475874873287718,0.626277371188506,"all","FRBDX"
"ARDS_18_49",4,"2276-4",6,970.995,487.95908061025,6.71436785237111,0.718864641316444,"all","FRBDX"
"ARDS_18_49",4,"2532-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",4,"2703-7",13,87.3359279644689,27.268924081384,4.43976751145322,0.263765723244363,"all","FRBDX"
"ARDS_18_49",4,"3255-7",6,853.333333333333,183.048263216745,6.72854540268035,0.231155651254573,"all","FRBDX"
"ARDS_18_49",4,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",4,"48065-7",5,9719.2,14255.7464448551,8.43651985815352,1.32414529666495,"all","FRBDX"
"ARDS_18_49",4,"49563-0",4,0.02025,0.0232002155162404,-0.654174174030529,0.0438108634824231,"all","FRBDX"
"ARDS_18_49",4,"5902-2",7,16.3714285714286,2.04834427909819,2.81946328349019,0.119215976822743,"all","FRBDX"
"ARDS_18_49",4,"6690-2",11,9.99545454545455,3.53278180372455,2.26835786066695,0.489109456331661,"all","FRBDX"
"ARDS_18_49",4,"731-0",3,1.10666666666667,0.682446579105891,0.395814447458238,0.515037492431364,"all","FRBDX"
"ARDS_18_49",4,"751-8",3,5.72,4.11981795714325,1.64473352880746,0.784710358664418,"all","FRBDX"
"ARDS_18_49",5,"1742-6",7,81.2857142857143,93.5284525081615,3.98984170074839,0.927441543805301,"all","FRBDX"
"ARDS_18_49",5,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",5,"1920-8",7,69.4285714285714,31.2028692209394,4.17714990192996,0.389575178309933,"all","FRBDX"
"ARDS_18_49",5,"1975-2",7,0.785296572571429,0.753347987173401,0.142637663866473,0.466135641640088,"all","FRBDX"
"ARDS_18_49",5,"1988-5",6,111.266666666667,84.5261596588102,4.31132633630188,1.19562515718061,"all","FRBDX"
"ARDS_18_49",5,"2019-8",13,43.0436678725275,6.47028208194309,3.76295530005336,0.155485938315686,"all","FRBDX"
"ARDS_18_49",5,"2160-0",14,1.40594697,1.74021253555651,0.457677184926976,0.52876006996998,"all","FRBDX"
"ARDS_18_49",5,"2276-4",5,1268.98,713.112952623916,6.91467454883992,0.904170232905085,"all","FRBDX"
"ARDS_18_49",5,"2532-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",5,"2703-7",13,89.8225346058608,24.4618847282755,4.4769887287888,0.22576402793167,"all","FRBDX"
"ARDS_18_49",5,"3255-7",9,788.888888888889,202.758751009941,6.63872247814729,0.277809187675352,"all","FRBDX"
"ARDS_18_49",5,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",5,"48065-7",5,2745.2,2437.20633102739,7.46578520368647,1.15994319446861,"all","FRBDX"
"ARDS_18_49",5,"49563-0",5,0.4044,0.863015816772787,-0.346694344067332,0.694809392909537,"all","FRBDX"
"ARDS_18_49",5,"5902-2",7,15.5857142857143,2.3190720640151,2.76944564008118,0.139152619206532,"all","FRBDX"
"ARDS_18_49",5,"6690-2",13,10.3446153846154,3.10063330999925,2.32313860017284,0.41381732730101,"all","FRBDX"
"ARDS_18_49",5,"731-0",3,1.52166666666667,0.894459799730169,0.624726398568821,0.510559689727545,"all","FRBDX"
"ARDS_18_49",5,"751-8",3,5.46666666666667,3.24680355632017,1.64308736724012,0.713225970588096,"all","FRBDX"
"ARDS_18_49",6,"1742-6",8,76.625,62.5229957695567,4.12135727893916,0.687685653271434,"all","FRBDX"
"ARDS_18_49",6,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",6,"1920-8",8,74.625,26.4085348757881,4.26153315488923,0.369556081175573,"all","FRBDX"
"ARDS_18_49",6,"1975-2",8,0.7529239745,0.510231822156589,0.159185439013698,0.379381017671471,"all","FRBDX"
"ARDS_18_49",6,"1988-5",6,108.141666666667,97.6209117795294,4.20014133548977,1.27372288753268,"all","FRBDX"
"ARDS_18_49",6,"2019-8",12,42.423149547619,6.37396532785063,3.74903451050977,0.151528725089145,"all","FRBDX"
"ARDS_18_49",6,"2160-0",12,1.7213423535,2.16886815322203,0.5288253433489,0.664604205434015,"all","FRBDX"
"ARDS_18_49",6,"2276-4",5,1342.828,747.208238157209,7.09216496740012,0.510848152344795,"all","FRBDX"
"ARDS_18_49",6,"2532-0",3,553,237.227738681631,6.26039440887837,0.398363386149896,"all","FRBDX"
"ARDS_18_49",6,"2703-7",12,89.4794201634921,9.55682837572797,4.49423321015156,0.109006441181986,"all","FRBDX"
"ARDS_18_49",6,"3255-7",6,847.5,192.814677864524,6.71791240358383,0.254204868988214,"all","FRBDX"
"ARDS_18_49",6,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",6,"48065-7",7,12485.5714285714,25429.2309941213,8.15319221525565,1.65300885221234,"all","FRBDX"
"ARDS_18_49",6,"49563-0",6,0.0136666666666667,0.0156418242755334,-0.666555843107024,0.0297828990256276,"all","FRBDX"
"ARDS_18_49",6,"5902-2",8,16.04375,2.38049177092225,2.79699105339349,0.14338588051858,"all","FRBDX"
"ARDS_18_49",6,"6690-2",12,12.0575,3.76973865744756,2.4835315361094,0.333391584381202,"all","FRBDX"
"ARDS_18_49",6,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",6,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",7,"1742-6",7,83.4285714285714,87.4449486683996,3.92052075601285,1.10756788726836,"all","FRBDX"
"ARDS_18_49",7,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",7,"1920-8",7,52.8571428571429,13.777137721948,3.94915432913587,0.253881721392833,"all","FRBDX"
"ARDS_18_49",7,"1975-2",7,0.401002505142857,0.186244751438481,-0.122081399213239,0.202868101335918,"all","FRBDX"
"ARDS_18_49",7,"1988-5",7,73.5428571428571,82.6234855058951,3.52013834323538,1.56783770471189,"all","FRBDX"
"ARDS_18_49",7,"2019-8",12,42.3322491766667,6.81280342381517,3.74495375424718,0.166882262751187,"all","FRBDX"
"ARDS_18_49",7,"2160-0",13,1.50191434938462,1.69520503400562,0.499974986851777,0.563385352260181,"all","FRBDX"
"ARDS_18_49",7,"2276-4",5,1268.032,556.400493727315,7.06420894869375,0.45783526067779,"all","FRBDX"
"ARDS_18_49",7,"2532-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",7,"2703-7",12,82.2001279822223,9.98164898697966,4.40894970758991,0.115329136873935,"all","FRBDX"
"ARDS_18_49",7,"3255-7",5,676,353.100552251055,6.33950899493868,0.758637597517225,"all","FRBDX"
"ARDS_18_49",7,"48065-7",4,2475.5,1918.63606067783,7.38743381824664,1.27537287206478,"all","FRBDX"
"ARDS_18_49",7,"49563-0",3,0.0186666666666667,0.0219620885467055,-0.657082385741309,0.0418552320470116,"all","FRBDX"
"ARDS_18_49",7,"5902-2",4,16.5,2.3094010767585,2.82619920097267,0.13729215234285,"all","FRBDX"
"ARDS_18_49",7,"6690-2",14,11.0814285714286,4.32635013544968,2.39427356941479,0.336657360617137,"all","FRBDX"
"ARDS_18_49",7,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",7,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",8,"1742-6",6,83,60.5045452838049,4.18545060202032,0.787136577077915,"all","FRBDX"
"ARDS_18_49",8,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",8,"1920-8",6,74.5,46.6293898737695,4.15881675026497,0.619408876229485,"all","FRBDX"
"ARDS_18_49",8,"1975-2",6,0.633528263333333,0.229241754531098,0.108586233017413,0.199561046637308,"all","FRBDX"
"ARDS_18_49",8,"1988-5",7,69.4714285714286,84.4546715559243,3.45805002894441,1.52470014973941,"all","FRBDX"
"ARDS_18_49",8,"2019-8",11,42.2462193381818,7.5200801541189,3.7395340897118,0.191895014647693,"all","FRBDX"
"ARDS_18_49",8,"2160-0",11,1.64232823172727,1.67713922219573,0.57271545815523,0.586185791180487,"all","FRBDX"
"ARDS_18_49",8,"2276-4",4,1096.025,277.188581354524,6.97618264199376,0.250599527393718,"all","FRBDX"
"ARDS_18_49",8,"2703-7",11,84.7333676824243,9.49783735362212,4.4397528974933,0.111448075143142,"all","FRBDX"
"ARDS_18_49",8,"3255-7",6,726.666666666667,258.895088147046,6.52538364522494,0.410917731894926,"all","FRBDX"
"ARDS_18_49",8,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",8,"48065-7",7,3104.71428571429,2432.86071078787,7.63168544504549,1.16689475354318,"all","FRBDX"
"ARDS_18_49",8,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",8,"5902-2",6,15.1833333333333,1.90621789590452,2.74692158558071,0.114404967840978,"all","FRBDX"
"ARDS_18_49",8,"6690-2",10,11.856,5.53975370491425,2.42125696480942,0.470490423217334,"all","FRBDX"
"ARDS_18_49",8,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",8,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",9,"1742-6",9,61.5555555555556,64.965589182103,3.6961220464181,0.961989521076506,"all","FRBDX"
"ARDS_18_49",9,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",9,"1920-8",9,66,53.4275209980774,3.98565750841019,0.65338713763218,"all","FRBDX"
"ARDS_18_49",9,"1975-2",9,0.519818062222222,0.288637287592612,-0.0121954280100239,0.260221826219572,"all","FRBDX"
"ARDS_18_49",9,"1988-5",8,78.125,98.5118919579908,3.23995290227577,1.85402976631752,"all","FRBDX"
"ARDS_18_49",9,"2019-8",11,43.5888303181818,6.61338412469347,3.77529250848527,0.157776990184004,"all","FRBDX"
"ARDS_18_49",9,"2160-0",13,1.46797769838462,1.48284391848767,0.512441681717262,0.535873578899605,"all","FRBDX"
"ARDS_18_49",9,"2276-4",7,818.21,542.080445874964,6.47973819552378,0.781135879506232,"all","FRBDX"
"ARDS_18_49",9,"2532-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",9,"2703-7",12,78.5992053305556,7.85080720034548,4.3661888494757,0.0992396341383782,"all","FRBDX"
"ARDS_18_49",9,"3255-7",6,720,254.715527598928,6.52204934980615,0.383022995825664,"all","FRBDX"
"ARDS_18_49",9,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",9,"48065-7",6,2501.33333333333,1839.53392647884,7.40525982561018,1.1985834626142,"all","FRBDX"
"ARDS_18_49",9,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",9,"5902-2",5,15.44,1.28763348822559,2.76623514987885,0.0804667106482236,"all","FRBDX"
"ARDS_18_49",9,"6690-2",11,11.8772727272727,5.04964175146929,2.43915120699616,0.418976578606434,"all","FRBDX"
"ARDS_18_49",9,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",9,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",10,"1742-6",4,63.75,46.8854988242634,3.86498333449802,1.01161308621376,"all","FRBDX"
"ARDS_18_49",10,"1751-7",3,2.00333333333333,0.539104195247388,0.90130723017281,0.224189752546486,"all","FRBDX"
"ARDS_18_49",10,"1920-8",4,99.75,83.0516907313351,4.36418723660662,0.790925635245873,"all","FRBDX"
"ARDS_18_49",10,"1975-2",4,0.43859649,0.181820253937079,-0.0763536846517736,0.182307959872493,"all","FRBDX"
"ARDS_18_49",10,"1988-5",5,141.22,145.75167923561,4.41507801478325,1.25951472022401,"all","FRBDX"
"ARDS_18_49",10,"2019-8",10,45.2112371533333,9.66142927075203,3.80378104172324,0.199493430368712,"all","FRBDX"
"ARDS_18_49",10,"2160-0",10,1.7036198802,1.57438355551273,0.615415969707453,0.586479733800829,"all","FRBDX"
"ARDS_18_49",10,"2276-4",4,1084.99,421.34977734261,6.93044420730735,0.401950024085256,"all","FRBDX"
"ARDS_18_49",10,"2703-7",10,94.3778012533333,21.1369700500507,4.53127586053117,0.215956337109567,"all","FRBDX"
"ARDS_18_49",10,"3255-7",5,940,103.923048454133,6.84103064450236,0.118804396806348,"all","FRBDX"
"ARDS_18_49",10,"48065-7",4,3422.5,1063.00094073336,8.09107796698993,0.378280076292014,"all","FRBDX"
"ARDS_18_49",10,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",10,"5902-2",3,16.8333333333333,0.94516312525052,2.85165556801122,0.0538948774152542,"all","FRBDX"
"ARDS_18_49",10,"6690-2",9,11.6622222222222,5.69256044714893,2.40433049467713,0.460360629232935,"all","FRBDX"
"ARDS_18_49",10,"731-0",4,1.705,1.13532667839114,0.686871507394517,0.529311638251636,"all","FRBDX"
"ARDS_18_49",10,"751-8",4,5.6325,1.34266836312372,1.79510870642613,0.223538744676123,"all","FRBDX"
"ARDS_18_49",11,"1742-6",3,20.3333333333333,18.9296944860009,2.7633785802603,0.891385620470675,"all","FRBDX"
"ARDS_18_49",11,"1751-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",11,"1920-8",3,28,10.5830052442584,3.29397091027689,0.428826545215694,"all","FRBDX"
"ARDS_18_49",11,"1975-2",3,0.389863546666667,0.0337631735422833,-0.117174374444465,0.0383762673770685,"all","FRBDX"
"ARDS_18_49",11,"1988-5",5,74.55,57.0463846356629,4.01903202299496,0.973719970408003,"all","FRBDX"
"ARDS_18_49",11,"2019-8",9,43.3258035259259,4.12548673758706,3.77626513577155,0.0944990377907872,"all","FRBDX"
"ARDS_18_49",11,"2160-0",11,1.71740021727273,1.59661688845816,0.612338901654699,0.597409656434329,"all","FRBDX"
"ARDS_18_49",11,"2276-4",4,833.485,217.643421602094,6.69950736383013,0.269877392708949,"all","FRBDX"
"ARDS_18_49",11,"2703-7",9,78.7245629148148,14.730435112868,4.3578070884777,0.177815802280643,"all","FRBDX"
"ARDS_18_49",11,"3255-7",4,870,124.899959967968,6.76113153218365,0.146480615386528,"all","FRBDX"
"ARDS_18_49",11,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",11,"48065-7",3,2682,1765.34076030663,7.74331713726573,0.680632401881827,"all","FRBDX"
"ARDS_18_49",11,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",11,"5902-2",3,16.1333333333333,1.76729548557488,2.80747362231393,0.109840012665699,"all","FRBDX"
"ARDS_18_49",11,"6690-2",10,11.096,4.88313924528974,2.37615020242193,0.404709098870765,"all","FRBDX"
"ARDS_18_49",11,"731-0",3,1.46666666666667,0.946854441470986,0.606576219730209,0.44326531357862,"all","FRBDX"
"ARDS_18_49",11,"751-8",3,5.45666666666667,0.52175984258405,1.78198407834964,0.0868038685805743,"all","FRBDX"
"ARDS_18_49",12,"1742-6",5,98.6,139.09277479438,3.8338001197871,1.43309319101619,"all","FRBDX"
"ARDS_18_49",12,"1751-7",3,1.88666666666667,1.10137792484384,0.799728449794174,0.456999509634427,"all","FRBDX"
"ARDS_18_49",12,"1920-8",5,145,199.066571779392,4.3039690439747,1.2396516975946,"all","FRBDX"
"ARDS_18_49",12,"1975-2",5,0.4444444432,0.173478326697785,-0.0701287399620188,0.178311502256001,"all","FRBDX"
"ARDS_18_49",12,"1988-5",6,129.225,131.650878272802,4.43755632759835,1.08196422162327,"all","FRBDX"
"ARDS_18_49",12,"2019-8",9,43.6070767759259,5.24694772478591,3.7800649297463,0.122803630781084,"all","FRBDX"
"ARDS_18_49",12,"2160-0",10,1.8947963475,1.8317817718153,0.662834193811445,0.645170414353901,"all","FRBDX"
"ARDS_18_49",12,"2276-4",5,1266.04,865.486331290102,6.97922720481995,0.626146489977963,"all","FRBDX"
"ARDS_18_49",12,"2532-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",12,"2703-7",9,83.8347075407408,9.98043461806539,4.4286729092644,0.116986957601801,"all","FRBDX"
"ARDS_18_49",12,"3255-7",5,882,132.740348048361,6.77295632167283,0.159713330442398,"all","FRBDX"
"ARDS_18_49",12,"33959-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",12,"48065-7",3,2290.33333333333,1089.32333736744,7.65684474453583,0.496555371952624,"all","FRBDX"
"ARDS_18_49",12,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
